#timestamp tx ty tz qx qy qz qw
1.204819 2.590206 4.839031 0.000000 0.000000 0.000000 0.736133 0.676837
1.205819 2.589520 4.847220 0.000000 0.000000 0.000000 0.735848 0.677147
1.206819 2.588842 4.855411 0.000000 0.000000 0.000000 0.735562 0.677458
1.207819 2.588171 4.863605 0.000000 0.000000 0.000000 0.735274 0.677769
1.208819 2.587506 4.871802 0.000000 0.000000 0.000000 0.734986 0.678082
1.209819 2.586848 4.880002 0.000000 0.000000 0.000000 0.734697 0.678395
1.210819 2.586197 4.888204 0.000000 0.000000 0.000000 0.734407 0.678709
1.211819 2.585553 4.896409 0.000000 0.000000 0.000000 0.734116 0.679024
1.212819 2.584915 4.904616 0.000000 0.000000 0.000000 0.733824 0.679339
1.213819 2.584285 4.912826 0.000000 0.000000 0.000000 0.733531 0.679656
1.214819 2.583661 4.921038 0.000000 0.000000 0.000000 0.733237 0.679973
1.215819 2.583045 4.929253 0.000000 0.000000 0.000000 0.732942 0.680291
1.216819 2.582435 4.937470 0.000000 0.000000 0.000000 0.732646 0.680609
1.217819 2.581833 4.945689 0.000000 0.000000 0.000000 0.732349 0.680929
1.218819 2.581237 4.953911 0.000000 0.000000 0.000000 0.732051 0.681249
1.219819 2.580649 4.962135 0.000000 0.000000 0.000000 0.731752 0.681571
1.220819 2.580068 4.970361 0.000000 0.000000 0.000000 0.731452 0.681893
1.221819 2.579493 4.978589 0.000000 0.000000 0.000000 0.731151 0.682215
1.222819 2.578926 4.986820 0.000000 0.000000 0.000000 0.730849 0.682539
1.223819 2.578367 4.995052 0.000000 0.000000 0.000000 0.730546 0.682864
1.224819 2.577814 5.003287 0.000000 0.000000 0.000000 0.730242 0.683189
1.225819 2.577269 5.011524 0.000000 0.000000 0.000000 0.729937 0.683515
1.226819 2.576731 5.019762 0.000000 0.000000 0.000000 0.729630 0.683842
1.227819 2.576200 5.028003 0.000000 0.000000 0.000000 0.729323 0.684170
1.228819 2.575677 5.036246 0.000000 0.000000 0.000000 0.729014 0.684498
1.229819 2.575161 5.044490 0.000000 0.000000 0.000000 0.728705 0.684828
1.230819 2.574652 5.052736 0.000000 0.000000 0.000000 0.728394 0.685158
1.231819 2.574151 5.060985 0.000000 0.000000 0.000000 0.728083 0.685489
1.232819 2.573657 5.069234 0.000000 0.000000 0.000000 0.727770 0.685821
1.233819 2.573170 5.077486 0.000000 0.000000 0.000000 0.727456 0.686154
1.234819 2.572691 5.085740 0.000000 0.000000 0.000000 0.727142 0.686488
1.235819 2.572220 5.093995 0.000000 0.000000 0.000000 0.726826 0.686822
1.236819 2.571756 5.102251 0.000000 0.000000 0.000000 0.726509 0.687157
1.237819 2.571300 5.110509 0.000000 0.000000 0.000000 0.726190 0.687494
1.238819 2.570851 5.118769 0.000000 0.000000 0.000000 0.725871 0.687831
1.239819 2.570410 5.127031 0.000000 0.000000 0.000000 0.725551 0.688169
1.240819 2.569977 5.135293 0.000000 0.000000 0.000000 0.725229 0.688507
1.241819 2.569551 5.143558 0.000000 0.000000 0.000000 0.724907 0.688847
1.242819 2.569133 5.151823 0.000000 0.000000 0.000000 0.724583 0.689187
1.243819 2.568723 5.160090 0.000000 0.000000 0.000000 0.724258 0.689529
1.244819 2.568320 5.168359 0.000000 0.000000 0.000000 0.723932 0.689871
1.245819 2.567925 5.176628 0.000000 0.000000 0.000000 0.723605 0.690214
1.246819 2.567538 5.184899 0.000000 0.000000 0.000000 0.723277 0.690558
1.247819 2.567159 5.193171 0.000000 0.000000 0.000000 0.722947 0.690903
1.248819 2.566788 5.201445 0.000000 0.000000 0.000000 0.722617 0.691249
1.249819 2.566425 5.209719 0.000000 0.000000 0.000000 0.722285 0.691595
1.250819 2.566069 5.217995 0.000000 0.000000 0.000000 0.721952 0.691943
1.251819 2.565722 5.226271 0.000000 0.000000 0.000000 0.721618 0.692291
1.252819 2.565382 5.234549 0.000000 0.000000 0.000000 0.721283 0.692641
1.253819 2.565051 5.242828 0.000000 0.000000 0.000000 0.720946 0.692991
1.254819 2.564727 5.251107 0.000000 0.000000 0.000000 0.720609 0.693342
1.255819 2.564412 5.259388 0.000000 0.000000 0.000000 0.720270 0.693694
1.256819 2.564104 5.267669 0.000000 0.000000 0.000000 0.719930 0.694047
1.257819 2.563805 5.275951 0.000000 0.000000 0.000000 0.719589 0.694400
1.258819 2.563514 5.284234 0.000000 0.000000 0.000000 0.719246 0.694755
1.259819 2.563231 5.292518 0.000000 0.000000 0.000000 0.718903 0.695111
1.260819 2.562956 5.300803 0.000000 0.000000 0.000000 0.718558 0.695467
1.261819 2.562690 5.309088 0.000000 0.000000 0.000000 0.718212 0.695825
1.262819 2.562432 5.317374 0.000000 0.000000 0.000000 0.717864 0.696183
1.263819 2.562181 5.325661 0.000000 0.000000 0.000000 0.717516 0.696542
1.264819 2.561940 5.333948 0.000000 0.000000 0.000000 0.717166 0.696902
1.265819 2.561706 5.342236 0.000000 0.000000 0.000000 0.716815 0.697263
