#timestamp tx ty tz qx qy qz qw
2.243000 2.490023 15.773721 0.000000 0.000000 -0.000000 0.114358 0.993440
2.244000 2.492057 15.774195 0.000000 0.000000 -0.000000 0.114313 0.993445
2.245000 2.494097 15.774671 0.000000 0.000000 -0.000000 0.114268 0.993450
2.246000 2.496145 15.775149 0.000000 0.000000 -0.000000 0.114222 0.993455
2.247000 2.498200 15.775627 0.000000 0.000000 -0.000000 0.114176 0.993460
2.248000 2.500263 15.776108 0.000000 0.000000 -0.000000 0.114130 0.993466
2.249000 2.502332 15.776589 0.000000 0.000000 -0.000000 0.114084 0.993471
2.250000 2.504409 15.777073 0.000000 0.000000 -0.000000 0.114037 0.993476
2.251000 2.506493 15.777557 0.000000 0.000000 -0.000000 0.113990 0.993482
2.252000 2.508584 15.778043 0.000000 0.000000 -0.000000 0.113943 0.993487
2.253000 2.510682 15.778531 0.000000 0.000000 -0.000000 0.113896 0.993493
2.254000 2.512788 15.779020 0.000000 0.000000 -0.000000 0.113848 0.993498
2.255000 2.514900 15.779511 0.000000 0.000000 -0.000000 0.113800 0.993504
2.256000 2.517020 15.780003 0.000000 0.000000 -0.000000 0.113752 0.993509
2.257000 2.519148 15.780496 0.000000 0.000000 -0.000000 0.113703 0.993515
2.258000 2.521282 15.780991 0.000000 0.000000 -0.000000 0.113654 0.993520
2.259000 2.523424 15.781487 0.000000 0.000000 -0.000000 0.113605 0.993526
2.260000 2.525573 15.781985 0.000000 0.000000 -0.000000 0.113556 0.993532
2.261000 2.527729 15.782485 0.000000 0.000000 -0.000000 0.113506 0.993537
2.262000 2.529892 15.782985 0.000000 0.000000 -0.000000 0.113456 0.993543
2.263000 2.532063 15.783487 0.000000 0.000000 -0.000000 0.113406 0.993549
2.264000 2.534241 15.783991 0.000000 0.000000 -0.000000 0.113356 0.993554
2.265000 2.536426 15.784496 0.000000 0.000000 -0.000000 0.113305 0.993560
2.266000 2.538618 15.785003 0.000000 0.000000 -0.000000 0.113254 0.993566
2.267000 2.540818 15.785511 0.000000 0.000000 -0.000000 0.113203 0.993572
2.268000 2.543024 15.786020 0.000000 0.000000 -0.000000 0.113152 0.993578
2.269000 2.545238 15.786531 0.000000 0.000000 -0.000000 0.113100 0.993584
2.270000 2.547460 15.787043 0.000000 0.000000 -0.000000 0.113049 0.993589
2.271000 2.549688 15.787557 0.000000 0.000000 -0.000000 0.112997 0.993595
2.272000 2.551924 15.788072 0.000000 0.000000 -0.000000 0.112944 0.993601
