#timestamp tx ty tz qx qy qz qw
0.401606 3.300000 1.600000 0.100000 -0.130526 0.000000 0.000000 0.991445
0.402606 3.300000 1.600000 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.403606 3.300000 1.600000 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.404606 3.300000 1.600000 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.405606 3.300000 1.600001 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.406606 3.300000 1.600001 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.407606 3.299999 1.600002 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.408606 3.299999 1.600003 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.409606 3.299998 1.600005 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.410606 3.299998 1.600007 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.411606 3.299997 1.600009 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.412606 3.299996 1.600013 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.413606 3.299994 1.600016 0.100000 -0.130526 -0.000000 -0.000000 0.991445
0.414606 3.299993 1.600021 0.100001 -0.130527 -0.000000 -0.000000 0.991445
0.415606 3.299991 1.600026 0.100001 -0.130527 -0.000000 -0.000001 0.991445
0.416606 3.299989 1.600032 0.100001 -0.130527 -0.000000 -0.000001 0.991445
0.417606 3.299986 1.600039 0.100001 -0.130527 -0.000001 -0.000001 0.991445
0.418606 3.299984 1.600046 0.100001 -0.130527 -0.000001 -0.000001 0.991445
0.419606 3.299981 1.600055 0.100002 -0.130527 -0.000001 -0.000001 0.991445
0.420606 3.299977 1.600065 0.100002 -0.130527 -0.000001 -0.000001 0.991445
0.421606 3.299974 1.600075 0.100002 -0.130527 -0.000001 -0.000002 0.991445
0.422606 3.299969 1.600087 0.100002 -0.130528 -0.000001 -0.000002 0.991445
0.423606 3.299965 1.600100 0.100003 -0.130528 -0.000001 -0.000002 0.991445
0.424606 3.299960 1.600114 0.100003 -0.130528 -0.000002 -0.000002 0.991445
0.425606 3.299954 1.600130 0.100004 -0.130528 -0.000002 -0.000003 0.991445
0.426606 3.299948 1.600147 0.100004 -0.130529 -0.000002 -0.000003 0.991445
0.427606 3.299942 1.600165 0.100005 -0.130529 -0.000002 -0.000003 0.991445
0.428606 3.299935 1.600185 0.100005 -0.130529 -0.000003 -0.000004 0.991444
0.429606 3.299927 1.600207 0.100006 -0.130529 -0.000003 -0.000004 0.991444
0.430606 3.299919 1.600229 0.100007 -0.130530 -0.000003 -0.000005 0.991444
0.431606 3.299911 1.600254 0.100007 -0.130530 -0.000003 -0.000005 0.991444
0.432606 3.299902 1.600280 0.100008 -0.130531 -0.000004 -0.000006 0.991444
0.433606 3.299892 1.600308 0.100009 -0.130531 -0.000004 -0.000006 0.991444
0.434606 3.299881 1.600338 0.100010 -0.130532 -0.000005 -0.000007 0.991444
0.435606 3.299870 1.600370 0.100011 -0.130532 -0.000005 -0.000007 0.991444
0.436606 3.299858 1.600403 0.100012 -0.130533 -0.000006 -0.000008 0.991444
0.437606 3.299846 1.600439 0.100013 -0.130533 -0.000006 -0.000009 0.991444
0.438606 3.299833 1.600476 0.100014 -0.130534 -0.000007 -0.000010 0.991444
0.439606 3.299819 1.600516 0.100015 -0.130534 -0.000007 -0.000010 0.991444
0.440606 3.299804 1.600558 0.100016 -0.130535 -0.000008 -0.000011 0.991444
0.441606 3.299788 1.600602 0.100017 -0.130536 -0.000008 -0.000012 0.991444
